user_name,comment,brand,gender,label
Muhammad Ahmed,"['میں', 'نے', 'حال', 'ہی', 'میں', 'ایک', 'ڈیل', 'لیپ', 'ٹاپ', 'خریدا', 'تھا', 'اور', 'میں', 'اس', 'کی', 'کارکردگی', 'سے', 'انتہائی', 'مطمئن', 'ہوںیہ', 'تیز', 'قابل', 'اعتماد', 'اور', 'بیٹری', 'کی', 'زندگی', 'متاثر', 'کن', 'ہے']",Dell,Male,1.0
Fatima Ali,"['میں', 'برسوں', 'سے', 'ایک', 'hp', 'لیپ', 'ٹاپ', 'استعمال', 'کر', 'رہا', 'ہوں', 'اور', 'میں', 'اس', 'کی', 'سفارش', 'نہیں', 'کرسکتاتعمیر', 'کا', 'معیار', 'بہترین', 'ہے', 'اور', 'یہ', 'آسانی', 'سے', 'ملٹی', 'ٹاسکنگ', 'کو', 'سنبھالتا', 'ہے']",HP,Female,1.0
Ali Hassan,"['لینووو', 'لیپ', 'ٹاپ', 'لاجواب', 'ہیںکی', 'بورڈ', 'ٹائپ', 'کرنے', 'میں', 'آرام', 'دہ', 'ہے', 'اور', 'ڈسپلے', 'کرکرا', 'اور', 'متحرک', 'ہےاس', 'کے', 'علاوہ', 'وہ', 'قیمت', 'کے', 'ل', 'great', 'بڑی', 'قیمت', 'پیش', 'کرتے', 'ہیں']",Lenovo,Male,1.0
Aisha Khan,"['ایپل', 'میک', 'بوکس', 'وہاں', 'کے', 'بہترین', 'لیپ', 'ٹاپ', 'ہیںڈیزائن', 'چیکنا', 'ہے', 'آپریٹنگ', 'سسٹم', 'ہموار', 'ہے', 'اور', 'مجموعی', 'طور', 'پر', 'صارف', 'کا', 'تجربہ', 'بے', 'مثال', 'ہے']",Apple,Female,1.0
Usman Malik,"['میں', 'asus', 'لیپ', 'ٹاپ', 'کا', 'بہت', 'بڑا', 'پرستار', 'ہوںوہ', 'طاقتور', 'قابل', 'اعتماد', 'اور', 'گیمنگ', 'کے', 'لئے', 'بہترین', 'ہیںکولنگ', 'سسٹم', 'شدید', 'گیم', 'پلے', 'کے', 'دوران', 'بھی', 'درجہ', 'حرارت', 'کو', 'کم', 'رکھتا', 'ہے']",Asus,Male,1.0
Hina Khan,"['میں', 'نے', 'ایک', 'نئے', 'ڈیل', 'لیپ', 'ٹاپ', 'میں', 'اپ', 'گریڈ', 'کیا', 'اور', 'یہ', 'ایک', 'گیم', 'چینجر', 'رہا', 'ہےرفتار', 'اور', 'کارکردگی', 'نمایاں', 'ہے', 'اور', 'یہ', 'ہلکا', 'پھلکا', 'اور', 'پورٹیبل', 'ہے']",Dell,Female,1.0
Asad Mahmood,"['پیشہ', 'ور', 'افراد', 'کے', 'لئے', 'hp', 'لیپ', 'ٹاپ', 'ایک', 'بہترین', 'انتخاب', 'ہیںان', 'کے', 'پاس', 'چیکنا', 'ڈیزائن', 'بیٹری', 'کی', 'عمدہ', 'زندگی', 'ہے', 'اور', 'سیکیورٹی', 'کی', 'خصوصیات', 'اعلی', 'درجے', 'کی', 'ہیں']",HP,Male,1.0
Farah Abbas,"['مجھے', 'اپنا', 'لینووو', 'لیپ', 'ٹاپ', 'پسند', 'ہےیہ', 'میرے', 'کام', 'کی', 'ضروریات', 'کے', 'ل', 'perfect', 'بہترین', 'ہے', 'اور', 'کسٹمر', 'سپورٹ', 'غیر', 'معمولی', 'ہےمیں', 'اس', 'کی', 'بہت', 'سفارش', 'کرتا', 'ہوں']",Lenovo,Female,1.0
Saad Ali,"['ایپل', 'میک', 'بوکس', 'کی', 'تعمیر', 'کا', 'معیار', 'بے', 'مثال', 'ہےوہ', 'قابل', 'اعتماد', 'تیز', 'اور', 'ریٹنا', 'ڈسپلے', 'کے', 'ساتھ', 'کام', 'کرنے', 'میں', 'خوشی', 'ہے']",Apple,Male,1.0
Mariam Khan,"['جب', 'کارکردگی', 'کی', 'بات', 'آتی', 'ہے', 'تو', 'asus', 'لیپ', 'ٹاپ', 'ایک', 'جانور', 'ہیںچاہے', 'یہ', 'گیمنگ', 'ہو', 'یا', 'ملٹی', 'ٹاسکنگ', 'وہ', 'ہر', 'چیز', 'کو', 'آسانی', 'سے', 'سنبھالتے', 'ہیںانتہائی', 'سفارش', 'کی', 'گئی']",Asus,Female,1.0
